N,RejectedRate,TransmittedRate
3000,125900.0,23755.0
4000,117135.0,32530.0
5000,105770.0,43895.0
6000,96815.0,52840.0
7000,86420.0,63230.0
8000,76805.0,72835.0
9000,66630.0,83025.0
10000,56655.0,93005.0
11000,47635.0,102025.0
12000,39140.0,110520.0
13000,32515.0,117170.0
14000,27105.0,122580.0
15000,23460.0,126240.0
16000,21285.0,128415.0
17000,19555.0,130145.0
18000,18800.0,130900.0
19000,18370.0,131330.0
20000,18300.0,131400.0
21000,18285.0,131415.0
22000,18250.0,131450.0
23000,18250.0,131450.0
24000,18250.0,131450.0
25000,18250.0,131450.0
26000,18250.0,131450.0
27000,18250.0,131450.0
28000,18250.0,131450.0
29000,18250.0,131450.0
30000,18250.0,131450.0
