N,XMTtime,RejectedRate,TransmittedRate
10000,0.01,0.0,149790.0
30000,0.03,5.0,149730.0
50000,0.05,625.0,149080.0
70000,0.07,4040.0,145660.0
90000,0.09,13325.0,136375.0
110000,0.11,25030.0,124655.0
130000,0.13,38490.0,111175.0
150000,0.15,51045.0,98485.0
170000,0.17,61890.0,87735.0
190000,0.19,71250.0,78315.0
210000,0.21,78620.0,70970.0
230000,0.23,84545.0,64990.0
250000,0.25,90040.0,59450.0
270000,0.27,94425.0,55135.0
290000,0.29,98050.0,51445.0
310000,0.31,101255.0,48275.0
330000,0.33,103995.0,45635.0
350000,0.35,106640.0,42820.0
370000,0.37,109360.0,40215.0
390000,0.39,111090.0,38450.0
410000,0.41,113125.0,36370.0
430000,0.43,115015.0,34435.0
450000,0.45,116355.0,33210.0
470000,0.47,117340.0,32190.0
490000,0.49,119005.0,30630.0
510000,0.51,120280.0,29345.0
530000,0.53,121970.0,27545.0
550000,0.55,122340.0,27175.0
570000,0.57,123570.0,25925.0
590000,0.59,124390.0,25065.0
610000,0.61,125410.0,24055.0
630000,0.63,126185.0,23315.0
650000,0.65,126800.0,22705.0
670000,0.67,127620.0,21910.0
690000,0.69,128005.0,21445.0
710000,0.71,128905.0,20555.0
730000,0.73,129500.0,19970.0
750000,0.75,129485.0,19975.0
770000,0.77,130350.0,19110.0
790000,0.79,130595.0,18940.0
810000,0.81,131175.0,18285.0
830000,0.83,131535.0,17980.0
850000,0.85,132260.0,17245.0
870000,0.87,132650.0,16880.0
890000,0.89,133070.0,16415.0
910000,0.91,133340.0,16195.0
930000,0.93,133350.0,16150.0
950000,0.95,133980.0,15490.0
970000,0.97,134150.0,15395.0
990000,0.99,134340.0,15290.0
